timestamp_utc,city,temp,humidity,description
2026-06-27T21:35:47.964353+00:00,Istanbul,23.71,100,clear sky
2026-06-27T21:35:48.023263+00:00,Ankara,20.11,61,clear sky
2026-06-27T21:35:48.072782+00:00,İzmir,24.33,49,clear sky
2026-06-27T21:35:48.118470+00:00,Berlin,24.89,79,light rain
2026-06-27T21:35:48.163420+00:00,London,23.29,67,overcast clouds
2026-06-27T21:41:37.575427+00:00,Istanbul,23.71,100,clear sky
2026-06-27T21:41:37.575427+00:00,Ankara,19.58,54,clear sky
2026-06-27T21:41:37.575427+00:00,İzmir,24.33,49,clear sky
2026-06-27T21:41:37.575427+00:00,Berlin,27.55,47,light rain
2026-06-27T21:41:37.575427+00:00,London,22.71,67,overcast clouds
2026-06-27T23:06:51.574615+00:00,Istanbul,22.97,100,clear sky
2026-06-27T23:06:51.574615+00:00,Ankara,18.45,65,clear sky
2026-06-27T23:06:51.574615+00:00,İzmir,23.52,53,clear sky
2026-06-27T23:06:51.574615+00:00,Berlin,24.63,75,overcast clouds
2026-06-27T23:06:51.574615+00:00,London,21.87,70,broken clouds
2026-06-28T04:12:15.394445+00:00,Istanbul,22.97,100,clear sky
2026-06-28T04:12:15.394445+00:00,Ankara,16.23,71,clear sky
2026-06-28T04:12:15.394445+00:00,İzmir,22.57,62,clear sky
2026-06-28T04:12:15.394445+00:00,Berlin,24.77,76,overcast clouds
2026-06-28T04:12:15.394445+00:00,London,19.58,74,clear sky
2026-06-28T08:24:26.680678+00:00,Istanbul,25.75,100,clear sky
2026-06-28T08:24:26.680678+00:00,Ankara,22.89,31,clear sky
2026-06-28T08:24:26.680678+00:00,İzmir,32.4,59,clear sky
2026-06-28T08:24:26.680678+00:00,Berlin,32.77,50,overcast clouds
2026-06-28T08:24:26.680678+00:00,London,22.03,65,broken clouds
2026-06-28T11:11:08.437045+00:00,Istanbul,29.43,57,clear sky
2026-06-28T11:11:08.437045+00:00,Ankara,25.11,30,clear sky
2026-06-28T11:11:08.437045+00:00,İzmir,36.29,21,clear sky
2026-06-28T11:11:08.437045+00:00,Berlin,37.05,38,overcast clouds
2026-06-28T11:11:08.437045+00:00,London,23.81,59,broken clouds
2026-06-28T13:55:50.554669+00:00,Istanbul,26.78,87,clear sky
2026-06-28T13:55:50.554669+00:00,Ankara,26.23,28,clear sky
2026-06-28T13:55:50.554669+00:00,İzmir,36.29,15,clear sky
2026-06-28T13:55:50.554669+00:00,Berlin,37.77,35,broken clouds
2026-06-28T13:55:50.554669+00:00,London,24.96,50,overcast clouds
2026-06-28T15:21:07.904249+00:00,Istanbul,26.06,95,clear sky
2026-06-28T15:21:07.904249+00:00,Ankara,26.23,32,clear sky
2026-06-28T15:21:07.904249+00:00,İzmir,35.73,14,clear sky
2026-06-28T15:21:07.904249+00:00,Berlin,37.82,34,scattered clouds
2026-06-28T15:21:07.904249+00:00,London,25.95,45,broken clouds
2026-06-28T17:17:33.723721+00:00,Istanbul,25.75,99,clear sky
2026-06-28T17:17:33.723721+00:00,Ankara,24.56,36,clear sky
2026-06-28T17:17:33.723721+00:00,İzmir,33.51,20,clear sky
2026-06-28T17:17:33.723721+00:00,Berlin,35.48,40,scattered clouds
2026-06-28T17:17:33.723721+00:00,London,24.01,50,broken clouds
2026-06-28T19:26:48.381051+00:00,Istanbul,23.71,100,clear sky
2026-06-28T19:26:48.381051+00:00,Ankara,21.78,44,clear sky
2026-06-28T19:26:48.381051+00:00,İzmir,26.81,40,clear sky
2026-06-28T19:26:48.381051+00:00,Berlin,31.41,55,broken clouds
2026-06-28T19:26:48.381051+00:00,London,21.88,54,overcast clouds
2026-06-28T21:06:38.411762+00:00,Istanbul,23.36,100,clear sky
2026-06-28T21:06:38.411762+00:00,Ankara,20.11,52,clear sky
2026-06-28T21:06:38.411762+00:00,İzmir,24.62,36,clear sky
2026-06-28T21:06:38.411762+00:00,Berlin,26.68,94,broken clouds
2026-06-28T21:06:38.411762+00:00,London,19.61,54,overcast clouds
2026-06-28T23:07:38.130774+00:00,Istanbul,22.97,100,clear sky
2026-06-28T23:07:38.130774+00:00,Ankara,18.45,55,clear sky
2026-06-28T23:07:38.130774+00:00,İzmir,23.21,41,clear sky
2026-06-28T23:07:38.130774+00:00,Berlin,25.46,69,scattered clouds
2026-06-28T23:07:38.130774+00:00,London,17.8,56,broken clouds
2026-06-29T04:19:02.914776+00:00,Istanbul,22.31,100,clear sky
2026-06-29T04:19:02.914776+00:00,Ankara,17.34,60,clear sky
2026-06-29T04:19:02.914776+00:00,İzmir,23.01,49,clear sky
2026-06-29T04:19:02.914776+00:00,Berlin,22.57,81,broken clouds
2026-06-29T04:19:02.914776+00:00,London,13.53,78,clear sky
2026-06-29T09:50:45.811267+00:00,Istanbul,31.63,100,clear sky
2026-06-29T09:50:45.811267+00:00,Ankara,25.67,36,clear sky
2026-06-29T09:50:45.811267+00:00,İzmir,35.73,19,clear sky
2026-06-29T09:50:45.811267+00:00,Berlin,27.17,62,overcast clouds
2026-06-29T09:50:45.811267+00:00,London,20.4,52,clear sky
2026-06-29T14:08:26.926169+00:00,Istanbul,31.59,81,clear sky
2026-06-29T14:08:26.926169+00:00,Ankara,29.0,34,clear sky
2026-06-29T14:08:26.926169+00:00,İzmir,36.29,10,clear sky
2026-06-29T14:08:26.926169+00:00,Berlin,25.65,69,overcast clouds
2026-06-29T14:08:26.926169+00:00,London,23.33,44,broken clouds
2026-06-29T17:41:34.479774+00:00,Istanbul,26.79,86,clear sky
2026-06-29T17:41:34.479774+00:00,Ankara,25.69,40,clear sky
2026-06-29T17:41:34.479774+00:00,İzmir,33.51,38,clear sky
2026-06-29T17:41:34.479774+00:00,Berlin,23.28,78,broken clouds
2026-06-29T17:41:34.479774+00:00,London,22.88,47,broken clouds
2026-06-29T20:04:02.654636+00:00,Istanbul,26.29,100,clear sky
2026-06-29T20:04:02.654636+00:00,Ankara,21.8,47,clear sky
2026-06-29T20:04:02.654636+00:00,İzmir,27.4,32,clear sky
2026-06-29T20:04:02.654636+00:00,Berlin,21.63,82,overcast clouds
2026-06-29T20:04:02.654636+00:00,London,20.79,54,overcast clouds
2026-06-29T22:11:55.390928+00:00,Istanbul,24.43,100,clear sky
2026-06-29T22:11:55.390928+00:00,Ankara,21.78,53,clear sky
2026-06-29T22:11:55.390928+00:00,İzmir,23.51,39,clear sky
2026-06-29T22:11:55.390928+00:00,Berlin,19.95,89,overcast clouds
2026-06-29T22:11:55.390928+00:00,London,19.1,63,overcast clouds
2026-06-30T00:08:42.558442+00:00,Istanbul,24.08,100,clear sky
2026-06-30T00:08:42.558442+00:00,Ankara,20.67,55,clear sky
2026-06-30T00:08:42.558442+00:00,İzmir,23.51,48,clear sky
2026-06-30T00:08:42.558442+00:00,Berlin,18.7,94,broken clouds
2026-06-30T00:08:42.558442+00:00,London,18.15,69,overcast clouds
2026-06-30T05:07:56.698952+00:00,Istanbul,26.59,68,clear sky
2026-06-30T05:07:56.698952+00:00,Ankara,20.67,57,clear sky
2026-06-30T05:07:56.698952+00:00,İzmir,23.51,40,clear sky
2026-06-30T05:07:56.698952+00:00,Berlin,19.15,71,broken clouds
2026-06-30T05:07:56.698952+00:00,London,16.98,75,overcast clouds
2026-06-30T09:45:50.393669+00:00,Istanbul,29.96,100,clear sky
2026-06-30T09:45:50.393669+00:00,Ankara,28.45,32,clear sky
2026-06-30T09:45:50.393669+00:00,İzmir,35.73,17,clear sky
2026-06-30T09:45:50.393669+00:00,Berlin,26.6,45,broken clouds
2026-06-30T09:45:50.393669+00:00,London,18.63,69,overcast clouds
2026-06-30T12:13:01.417478+00:00,Istanbul,30.41,82,clear sky
2026-06-30T12:13:01.417478+00:00,Ankara,31.23,23,clear sky
2026-06-30T12:13:01.417478+00:00,İzmir,37.4,15,clear sky
2026-06-30T12:13:01.417478+00:00,Berlin,27.94,38,scattered clouds
2026-06-30T12:13:01.417478+00:00,London,21.8,55,overcast clouds
2026-06-30T15:31:57.834544+00:00,Istanbul,29.3,91,clear sky
2026-06-30T15:31:57.834544+00:00,Ankara,31.23,23,clear sky
2026-06-30T15:31:57.834544+00:00,İzmir,36.29,17,clear sky
2026-06-30T15:31:57.834544+00:00,Berlin,27.87,19,overcast clouds
2026-06-30T15:31:57.834544+00:00,London,24.77,44,scattered clouds
2026-06-30T18:00:15.506141+00:00,Istanbul,26.75,100,clear sky
2026-06-30T18:00:15.506141+00:00,Ankara,26.2,36,clear sky
2026-06-30T18:00:15.506141+00:00,İzmir,30.8,33,few clouds
2026-06-30T18:00:15.506141+00:00,Berlin,24.54,57,moderate rain
2026-06-30T18:00:15.506141+00:00,London,23.24,49,broken clouds
2026-06-30T20:58:10.871019+00:00,Istanbul,24.82,100,clear sky
2026-06-30T20:58:10.871019+00:00,Ankara,22.91,42,clear sky
2026-06-30T20:58:10.871019+00:00,İzmir,25.73,48,clear sky
2026-06-30T20:58:10.871019+00:00,Berlin,21.49,65,scattered clouds
2026-06-30T20:58:10.871019+00:00,London,20.36,63,broken clouds
2026-06-30T22:23:18.376421+00:00,Istanbul,23.71,100,clear sky
2026-06-30T22:23:18.376421+00:00,Ankara,22.89,51,clear sky
2026-06-30T22:23:18.376421+00:00,İzmir,24.62,51,clear sky
2026-06-30T22:23:18.376421+00:00,Berlin,20.96,77,scattered clouds
2026-06-30T22:23:18.376421+00:00,London,18.76,70,broken clouds
2026-07-01T00:10:21.598889+00:00,Istanbul,23.84,100,clear sky
2026-07-01T00:10:21.598889+00:00,Ankara,21.78,48,clear sky
2026-07-01T00:10:21.598889+00:00,İzmir,24.58,59,clear sky
2026-07-01T00:10:21.598889+00:00,Berlin,19.97,86,scattered clouds
2026-07-01T00:10:21.598889+00:00,London,17.89,77,scattered clouds
2026-07-01T05:24:50.206425+00:00,Istanbul,26.66,69,clear sky
2026-07-01T05:24:50.206425+00:00,Ankara,22.89,44,clear sky
2026-07-01T05:24:50.206425+00:00,İzmir,25.73,60,clear sky
2026-07-01T05:24:50.206425+00:00,Berlin,19.52,84,overcast clouds
2026-07-01T05:24:50.206425+00:00,London,16.75,83,clear sky
2026-07-01T09:56:19.788422+00:00,Istanbul,31.63,100,clear sky
2026-07-01T09:56:19.788422+00:00,Ankara,29.0,29,clear sky
2026-07-01T09:56:19.788422+00:00,İzmir,33.51,34,scattered clouds
2026-07-01T09:56:19.788422+00:00,Berlin,21.34,74,overcast clouds
2026-07-01T09:56:19.788422+00:00,London,21.65,61,clear sky
2026-07-01T12:38:21.806143+00:00,Istanbul,31.7,86,clear sky
2026-07-01T12:38:21.806143+00:00,Ankara,31.23,26,clear sky
2026-07-01T12:38:21.806143+00:00,İzmir,35.73,24,clear sky
2026-07-01T12:38:21.806143+00:00,Berlin,25.53,44,overcast clouds
2026-07-01T12:38:21.806143+00:00,London,24.15,50,scattered clouds
2026-07-01T15:45:42.428628+00:00,Istanbul,29.82,69,few clouds
2026-07-01T15:45:42.428628+00:00,Ankara,31.23,26,clear sky
